pitcher_id,pitcher_avg_exit_velocity_allowed,pitcher_max_exit_velocity_allowed,pitcher_batted_balls_allowed,pitcher_name
641154,85.31142857142858,104.4,35,pablo lópez
641302,79.10270270270271,107.4,37,tyler alexander
641401,85.17777777777778,104.4,9,connor brogdon
641482,82.21142857142857,108.9,35,néstor cortés
641540,85.71428571428571,108.6,56,dane dunning
641585,76.13939393939394,102.7,33,j. p. france
641656,80.49285714285715,103.7,14,ian hamilton
641712,83.17538461538462,110.9,65,dakota hudson
641729,77.59,89.4,10,joe jiménez
641755,85.74736842105263,105.7,19,tyler kinley
641793,82.06296296296296,104.0,27,zack littell
641835,86.53636363636363,109.5,11,tim mayza
641941,82.04545454545455,106.9,11,emilio pagán
642048,75.80588235294118,106.1,17,tayler saucedo
642100,88.16,99.4,5,gabe speier
642232,82.42280701754386,109.2,57,ryan yarbrough
642397,90.25,101.1,2,gregory soto
642528,71.19999999999999,80.6,4,jonathan loáisiga
642547,82.45416666666667,109.8,24,freddy peralta
642701,86.15555555555555,107.6,18,dennis santana
643256,86.68571428571428,108.8,7,adam cimber
643338,86.69090909090909,102.1,11,chad green
643377,79.04285714285713,99.9,7,griffin jax
643396,70.39999999999999,79.2,3,isiah kiner-falefa
643410,82.10000000000001,107.9,11,mark leiter
643511,82.8,107.4,15,tyler rogers
647336,86.18235294117646,113.3,34,michael soroka
650556,76.5,82.6,3,bryan abreu
650633,84.75555555555556,111.7,27,mike king
650644,86.5142857142857,106.9,21,aaron civale
650893,87.17142857142856,111.1,21,génesis cabrera
650911,84.79615384615384,104.4,52,cristopher sánchez
650960,80.67999999999999,106.2,10,daniel duarte
656222,81.24545454545455,105.0,11,jalen beeks
656232,87.92,105.1,20,brandon bielak
656234,84.24,108.0,15,jake bird
656266,83.4625,111.2,8,j. b. bukauskas
656271,92.5,100.1,8,brock burke
656288,83.15862068965517,105.2,29,griffin canning
656302,83.74375,106.2,32,dylan cease
656412,79.69473684210527,105.8,19,alex faedo
656427,84.27916666666667,108.3,24,jack flaherty
656464,78.04666666666667,105.2,15,kevin ginkel
656546,81.74,93.8,10,jeff hoffman
656557,83.87254901960785,112.8,51,tanner houck
656605,83.13214285714285,110.4,28,mitch keller
656629,83.42,104.7,20,michael kopech
656638,84.38181818181819,110.9,11,alex lange
656641,79.97058823529412,101.5,17,jacob latz
656793,89.7,99.6,4,nick nelson
656924,78.53999999999999,100.8,20,ryder ryan
656945,81.0875,102.0,16,tanner scott
657044,86.15454545454546,109.8,11,ryan thompson
657097,81.71538461538461,106.1,13,jacob webb
657240,89.0923076923077,110.2,13,julian merryweather
657277,84.99491525423728,109.1,59,logan webb
657376,79.18,106.8,30,clarke schmidt
657508,81.19,102.9,10,mike baumann
657571,80.93684210526315,104.9,19,caleb ferguson
657585,79.62,102.1,10,reed garrett
657746,83.12702702702703,107.0,37,joe ryan
658648,59.800000000000004,91.9,2,pedro avila
659275,82.75714285714285,111.9,28,dinelson lamet
660761,76.9121212121212,107.8,33,josé suarez
660853,86.6,105.6,4,enyel de los santos
660896,82.02941176470588,103.7,17,jorge alcalá
661403,88.2421052631579,109.7,19,emmanuel clase
661527,76.51,104.0,10,seth martinez
661563,79.06326530612245,111.7,49,luis gil
662253,85.78571428571429,108.1,14,andrés muñoz
663158,77.99411764705883,102.4,17,robert suarez
663362,78.41896551724139,110.8,58,matt waldron
663372,80.10000000000001,109.8,22,ryan feltner
663423,81.70666666666666,106.1,15,trent thornton
663432,79.8,105.2,22,tanner rainey
663462,86.42,101.5,10,isaiah campbell
663474,82.37916666666666,108.6,24,triston mckenzie
663485,79.82000000000001,93.0,5,cole sands
663542,84.74,106.5,5,bryan hudson
663554,80.771875,113.6,32,casey mize
663559,77.76470588235294,100.2,34,bailey falter
663567,83.41034482758621,107.9,29,peter lambert
663568,78.81666666666666,102.9,12,stephen kolek
663623,83.15333333333334,107.9,30,jake irvin
663704,87.87333333333332,108.9,15,james mcarthur
663773,82.36333333333333,104.8,30,bryan hoeing
663776,80.13030303030304,103.8,33,patrick sandoval
663855,84.24444444444445,107.1,36,jordan hicks
663878,80.77058823529411,105.1,17,nate pearson
663903,86.73478260869565,107.3,23,brady singer
663947,75.27142857142857,94.9,7,tyler holton
663978,76.544,110.3,25,chris paddack
664076,79.71052631578948,103.8,19,garrett cleavinger
664126,82.28,93.5,5,pete fairbanks
664208,74.01,99.8,10,phil maton
664285,84.22941176470589,107.9,34,framber valdez
664299,76.88571428571429,99.7,28,cristian javier
664350,94.5,100.0,5,sixto sánchez
664747,79.67368421052632,99.0,19,alexis díaz
664776,79.83888888888889,108.1,18,jake cousins
664854,80.3,101.6,17,ryan helsley
664875,87.46153846153847,101.8,13,justin lawrence
665152,82.0983870967742,110.8,62,dean kremer
665620,84.3125,105.9,16,deivi garcía
665625,86.15384615384616,102.0,13,elvis peguero
665871,80.596875,109.4,32,javier assad
666142,79.09166666666667,112.2,24,cole ragans
666159,77.83548387096775,98.9,31,matt manning
666200,86.94193548387096,114.6,31,jesús luzardo
666204,73.025,86.1,4,dany jiménez
666205,81.84444444444445,109.0,36,kyle muller
666214,73.972,107.1,25,joey wentz
666277,83.1263157894737,113.1,19,george soriano
666720,81.74375,101.8,16,yerry rodríguez
666745,85.97857142857143,104.6,14,jhony brito
666808,79.80714285714285,104.8,14,camilo doval
666818,87.30000000000001,102.7,9,luis frías
666974,83.49545454545455,111.3,22,yennier cano
667463,81.61666666666666,102.4,12,john king
667755,89.55882352941177,107.7,17,josé soriano
668674,85.57692307692308,108.2,13,lucas erceg
668678,81.21333333333334,113.3,30,zac gallen
668868,85.82068965517242,108.8,29,zack thompson
668881,76.045,103.3,40,hunter greene
668933,93.91304347826087,107.7,23,graham ashcraft
668941,85.93333333333334,104.1,12,jojo romero
668942,84.08888888888889,105.0,9,josh rojas
669022,80.05178571428571,111.5,56,mackenzie gore
669060,83.03703703703704,106.6,27,bryse wilson
669062,84.6,98.7,5,erik miller
669084,79.85161290322581,104.0,31,dl hall
669169,84.34,108.0,10,jonathan heasley
669194,82.05970149253731,112.0,67,ryne nelson
669203,86.78648648648648,110.2,37,corbin burnes
669211,78.25833333333334,105.6,12,keegan akin
669212,72.575,103.7,4,eli morgan
669276,78.93448275862069,107.9,29,dylan lee
669302,85.916,112.4,25,logan gilbert
669330,82.91111111111111,110.7,36,tyler wells
669373,80.82413793103449,102.8,29,tarik skubal
669395,88.85,100.9,4,dylan coleman
669422,81.55,100.3,6,matt sauer
669432,81.66538461538462,105.4,26,trevor rogers
669456,83.25,105.9,24,shane bieber
669459,81.74705882352941,106.7,17,kyle nelson
669461,79.1125,106.7,16,matthew liberatore
