pitcher,avg_exit_velocity_allowed,max_exit_velocity_allowed,avg_launch_angle_allowed,batted_balls_allowed
622253,83.0625,112.9,5.875,8
669060,83.03703703703704,106.6,13.444444444444445,27
592767,83.02941176470588,104.0,27.470588235294116,17
571578,83.01081081081081,107.8,9.81081081081081,37
554430,83.00344827586207,109.2,10.931034482758621,29
518886,82.98666666666666,104.3,28.933333333333334,15
527048,82.94848484848485,106.0,21.545454545454547,33
669330,82.91111111111111,110.7,24.166666666666668,36
500779,82.86333333333333,106.8,8.933333333333334,30
643511,82.8,107.4,7.8,15
659275,82.75714285714285,111.9,18.964285714285715,28
669622,82.74285714285715,101.4,13.285714285714286,14
592351,82.728,106.4,17.84,25
622072,82.69677419354838,109.3,26.0,31
605513,82.69285714285715,104.9,6.785714285714286,28
686752,82.63921568627451,109.8,24.333333333333332,51
672710,82.625,108.9,21.333333333333332,24
625643,82.559375,106.2,30.96875,32
676440,82.55862068965517,109.1,29.03448275862069,29
676979,82.54489795918367,107.0,16.183673469387756,49
573009,82.50526315789473,105.7,15.736842105263158,19
571882,82.5030303030303,102.1,6.212121212121212,33
642547,82.45416666666667,109.8,22.458333333333332,24
642232,82.42280701754386,109.2,21.719298245614034,57
571670,82.41818181818182,97.5,1.9090909090909092,11
542585,82.38125,108.2,11.875,16
663474,82.37916666666666,108.6,24.458333333333332,24
681857,82.37407407407407,110.9,8.703703703703704,27
543294,82.37083333333334,109.2,18.791666666666668,24
663773,82.36333333333333,104.8,11.766666666666667,30
682842,82.32222222222222,107.9,-5.666666666666667,9
664126,82.28,93.5,30.6,5
676702,82.23571428571428,102.2,22.428571428571427,14
696136,82.21666666666667,108.5,27.083333333333332,36
680767,82.2125,106.9,3.0,16
641482,82.21142857142857,108.9,19.257142857142856,35
601713,82.20882352941176,108.4,12.852941176470589,34
675911,82.16875,108.3,26.84375,32
690986,82.16000000000001,106.2,22.166666666666668,30
643410,82.10000000000001,107.9,10.181818181818182,11
665152,82.0983870967742,110.8,22.661290322580644,62
641793,82.06296296296296,104.0,26.185185185185187,27
669194,82.05970149253731,112.0,21.44776119402985,67
519043,82.05714285714285,104.6,18.428571428571427,14
641941,82.04545454545455,106.9,35.18181818181818,11
621237,82.0375,103.3,-6.4375,16
660896,82.02941176470588,103.7,31.529411764705884,17
674003,81.99268292682926,109.5,32.8780487804878,41
571656,81.98,105.4,13.65,20
606149,81.95714285714287,106.3,21.357142857142858,14
670102,81.95200000000001,110.6,15.24,50
518876,81.94571428571429,108.9,18.057142857142857,35
669923,81.90263157894738,103.6,14.81578947368421,38
680570,81.89411764705882,104.9,21.705882352941178,34
694813,81.88636363636364,108.3,8.909090909090908,22
666205,81.84444444444445,109.0,19.694444444444443,36
445276,81.84375,101.4,31.5625,16
671106,81.81666666666666,106.6,12.333333333333334,30
543518,81.7764705882353,108.8,29.0,17
669459,81.74705882352941,106.7,16.352941176470587,17
666720,81.74375,101.8,27.3125,16
656546,81.74,93.8,11.4,10
677053,81.72380952380952,108.8,30.761904761904763,21
657097,81.71538461538461,106.1,40.69230769230769,13
519151,81.71538461538461,104.4,4.384615384615385,13
663423,81.70666666666666,106.1,13.533333333333333,15
669432,81.66538461538462,105.4,8.884615384615385,26
667463,81.61666666666666,102.4,-2.25,12
543859,81.61052631578947,107.9,6.578947368421052,19
682120,81.58333333333333,110.9,-0.5833333333333334,12
548389,81.58055555555556,106.0,24.666666666666668,36
669422,81.55,100.3,44.833333333333336,6
595881,81.55,103.7,20.3,10
676596,81.48571428571428,96.6,-3.4285714285714284,7
518489,81.46000000000001,102.3,30.933333333333334,15
571946,81.44285714285715,96.0,28.142857142857142,7
579328,81.35384615384615,112.8,19.153846153846153,26
573186,81.32352941176471,102.4,23.735294117647058,34
596133,81.30499999999999,107.8,25.425,40
615698,81.26285714285714,103.6,25.542857142857144,35
656222,81.24545454545455,105.0,13.636363636363637,11
608678,81.23846153846154,105.9,-2.5384615384615383,13
668678,81.21333333333334,113.3,17.0,30
686973,81.2074074074074,107.5,16.555555555555557,27
